NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,LTR
0.3770491803278688,0.360655737704918,0.3114754098360656,0.2622950819672131,0.3114754098360656,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3934426229508196,0.360655737704918,0.3770491803278688,0.3934426229508196,0.3278688524590163,0.360655737704918,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3934426229508196,0.39344262295081966,0.3934426229508196,0.3278688524590163,0.180327868852459,0.3770491803278688,0.3934426229508196,0.3114754098360656,0.360655737704918,0.3278688524590163,0.3278688524590163,0.3770491803278688,0.2786885245901639,0.3114754098360656,0.2786885245901639,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.2459016393442623,0.1967213114754098,0.3114754098360656,0.3770491803278688
0.365079365079365,0.365079365079365,0.3809523809523809,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.3809523809523809,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.365079365079365,0.3492063492063492,0.365079365079365,0.3492063492063492,0.3333333333333333,0.3333333333333333,0.3492063492063492,0.38095238095238093,0.3174603174603174,0.3492063492063492,0.3333333333333333,0.3333333333333333,0.3015873015873015,0.3809523809523809,0.3492063492063492,0.3333333333333333,0.180327868852459,0.360655737704918,0.3492063492063492,0.2222222222222222,0.2063492063492063,0.2063492063492063,0.3015873015873015,0.3492063492063492
0.328125,0.34375,0.328125,0.3125,0.328125,0.34375,0.34375,0.34375,0.34375,0.34375,0.359375,0.359375,0.328125,0.265625,0.328125,0.3125,0.34375,0.328125,0.328125,0.359375,0.34375,0.28125,0.328125,0.359375,0.34375,0.34375,0.34375,0.328125,0.34375,0.28125,0.328125,0.2857142857142857,0.365079365079365,0.34375,0.15625,0.0,0.203125,0.296875,0.34375
0.296875,0.359375,0.359375,0.359375,0.3125,0.34375,0.328125,0.34375,0.328125,0.34375,0.25,0.375,0.359375,0.359375,0.375,0.34375,0.375,0.34375,0.34375,0.375,0.328125,0.265625,0.34375,0.328125,0.359375,0.359375,0.359375,0.328125,0.375,0.265625,0.328125,0.21875,0.328125,0.359375,0.171875,0.234375,0.203125,0.359375,0.328125
0.359375,0.375,0.328125,0.328125,0.34375,0.359375,0.359375,0.359375,0.375,0.375,0.3125,0.359375,0.34375,0.328125,0.328125,0.359375,0.375,0.375,0.375,0.359375,0.328125,0.28125,0.359375,0.25,0.3125,0.34375,0.328125,0.3125,0.375,0.265625,0.28125,0.203125,0.34375,0.296875,0.21875,0.078125,0.203125,0.3125,0.328125
0.3125,0.3125,0.359375,0.328125,0.359375,0.359375,0.296875,0.34375,0.328125,0.328125,0.34375,0.328125,0.359375,0.328125,0.359375,0.359375,0.328125,0.375,0.375,0.359375,0.375,0.3125,0.375,0.34375,0.375,0.375,0.359375,0.3125,0.375,0.3125,0.328125,0.171875,0.34375,0.34375,0.171875,0.15625,0.234375,0.3125,0.359375
0.3125,0.375,0.3125,0.328125,0.3125,0.34375,0.359375,0.34375,0.375,0.359375,0.34375,0.34375,0.328125,0.328125,0.328125,0.34375,0.359375,0.359375,0.375,0.359375,0.359375,0.234375,0.34375,0.328125,0.34375,0.34375,0.34375,0.359375,0.375,0.25,0.34375,0.234375,0.375,0.3125,0.15625,0.140625,0.265625,0.265625,0.296875
0.296875,0.328125,0.328125,0.328125,0.328125,0.34375,0.328125,0.34375,0.328125,0.3125,0.3125,0.34375,0.328125,0.328125,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.359375,0.21875,0.34375,0.34375,0.34375,0.359375,0.359375,0.328125,0.34375,0.28125,0.328125,0.25,0.34375,0.375,0.296875,0.171875,0.1875,0.375,0.375
0.3442622950819672,0.3770491803278688,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.360655737704918,0.3770491803278688,0.3442622950819672,0.3770491803278688,0.3770491803278688,0.3114754098360656,0.3442622950819672,0.360655737704918,0.3442622950819672,0.360655737704918,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.36065573770491804,0.3770491803278688,0.360655737704918,0.2459016393442623,0.32786885245901637,0.3770491803278688,0.360655737704918,0.3934426229508196,0.3770491803278688,0.3770491803278688,0.360655737704918,0.3442622950819672,0.360655737704918,0.1875,0.375,0.360655737704918,0.2459016393442623,0.2622950819672131,0.2295081967213114,0.3114754098360656,0.360655737704918
0.3770491803278688,0.3770491803278688,0.360655737704918,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3278688524590163,0.3770491803278688,0.360655737704918,0.3770491803278688,0.360655737704918,0.360655737704918,0.360655737704918,0.3770491803278688,0.3770491803278688,0.39344262295081966,0.360655737704918,0.2950819672131147,0.2950819672131147,0.3442622950819672,0.360655737704918,0.3114754098360656,0.3278688524590163,0.3442622950819672,0.3442622950819672,0.360655737704918,0.360655737704918,0.3442622950819672,0.1967213114754098,0.3770491803278688,0.3278688524590163,0.0491803278688524,0.1475409836065573,0.2622950819672131,0.2786885245901639,0.3442622950819672
0.360655737704918,0.3770491803278688,0.3278688524590163,0.3114754098360656,0.3278688524590163,0.3770491803278688,0.3770491803278688,0.3934426229508196,0.360655737704918,0.360655737704918,0.3114754098360656,0.3770491803278688,0.3278688524590163,0.3114754098360656,0.3278688524590163,0.3934426229508196,0.3770491803278688,0.3934426229508196,0.39344262295081966,0.360655737704918,0.3442622950819672,0.180327868852459,0.3770491803278688,0.360655737704918,0.3278688524590163,0.3278688524590163,0.3114754098360656,0.3114754098360656,0.3770491803278688,0.2950819672131147,0.3114754098360656,0.3442622950819672,0.3934426229508196,0.3114754098360656,0.0983606557377049,0.1967213114754098,0.0,0.2786885245901639,0.2786885245901639
0.3333333333333333,0.2698412698412698,0.3333333333333333,0.3333333333333333,0.3174603174603174,0.3333333333333333,0.2698412698412698,0.3174603174603174,0.3015873015873015,0.2698412698412698,0.3492063492063492,0.3174603174603174,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3492063492063492,0.3333333333333333,0.3492063492063492,0.2857142857142857,0.3333333333333333,0.3174603174603174,0.3333333333333333,0.3333333333333333,0.3492063492063492,0.3333333333333333,0.3333333333333333,0.3015873015873015,0.3492063492063492,0.1639344262295081,0.3278688524590163,0.3492063492063492,0.238095238095238,0.1587301587301587,0.2539682539682539,0.3333333333333333,0.3333333333333333
0.328125,0.34375,0.359375,0.296875,0.359375,0.34375,0.3125,0.34375,0.34375,0.328125,0.3125,0.359375,0.359375,0.296875,0.375,0.3125,0.375,0.359375,0.359375,0.375,0.359375,0.265625,0.359375,0.359375,0.359375,0.375,0.34375,0.328125,0.375,0.28125,0.328125,0.2222222222222222,0.3492063492063492,0.375,0.125,0.0625,0.234375,0.375,0.375
0.34375,0.359375,0.328125,0.3125,0.34375,0.359375,0.359375,0.359375,0.359375,0.375,0.34375,0.359375,0.359375,0.296875,0.34375,0.34375,0.359375,0.359375,0.359375,0.359375,0.296875,0.28125,0.359375,0.359375,0.296875,0.359375,0.296875,0.296875,0.375,0.28125,0.296875,0.234375,0.375,0.34375,0.28125,0.09375,0.203125,0.3125,0.359375
0.3125,0.3125,0.359375,0.3125,0.359375,0.296875,0.359375,0.359375,0.375,0.359375,0.265625,0.34375,0.359375,0.328125,0.359375,0.375,0.375,0.359375,0.375,0.34375,0.34375,0.25,0.375,0.328125,0.34375,0.34375,0.359375,0.34375,0.375,0.328125,0.34375,0.234375,0.34375,0.34375,0.03125,0.046875,0.265625,0.359375,0.34375
0.234375,0.328125,0.296875,0.3125,0.296875,0.359375,0.359375,0.328125,0.34375,0.3125,0.328125,0.34375,0.3125,0.3125,0.3125,0.359375,0.359375,0.3125,0.328125,0.328125,0.296875,0.234375,0.296875,0.359375,0.3125,0.359375,0.328125,0.375,0.3125,0.3125,0.25,0.28125,0.359375,0.328125,0.171875,0.09375,0.265625,0.28125,0.3125
0.34375,0.34375,0.328125,0.34375,0.3125,0.359375,0.359375,0.328125,0.296875,0.375,0.3125,0.375,0.328125,0.34375,0.328125,0.375,0.375,0.34375,0.375,0.359375,0.296875,0.21875,0.328125,0.3125,0.328125,0.3125,0.328125,0.328125,0.375,0.296875,0.328125,0.28125,0.328125,0.296875,0.21875,0.25,0.25,0.328125,0.328125
0.296875,0.359375,0.296875,0.34375,0.296875,0.328125,0.375,0.3125,0.375,0.34375,0.28125,0.34375,0.359375,0.34375,0.375,0.359375,0.375,0.359375,0.375,0.34375,0.34375,0.328125,0.375,0.375,0.34375,0.359375,0.34375,0.34375,0.375,0.328125,0.3125,0.234375,0.3125,0.359375,0.203125,0.25,0.1875,0.34375,0.359375
0.3278688524590163,0.360655737704918,0.3278688524590163,0.3770491803278688,0.3278688524590163,0.360655737704918,0.360655737704918,0.3934426229508196,0.360655737704918,0.3770491803278688,0.360655737704918,0.360655737704918,0.3114754098360656,0.3770491803278688,0.3114754098360656,0.360655737704918,0.360655737704918,0.3442622950819672,0.36065573770491804,0.3442622950819672,0.2950819672131147,0.3278688524590163,0.36065573770491804,0.360655737704918,0.3278688524590163,0.3278688524590163,0.3114754098360656,0.360655737704918,0.3770491803278688,0.3278688524590163,0.3278688524590163,0.1875,0.375,0.3114754098360656,0.2622950819672131,0.2786885245901639,0.2131147540983606,0.3278688524590163,0.3770491803278688
0.3114754098360656,0.2950819672131147,0.360655737704918,0.3770491803278688,0.3770491803278688,0.3114754098360656,0.3114754098360656,0.360655737704918,0.3114754098360656,0.360655737704918,0.3278688524590163,0.360655737704918,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3114754098360656,0.3114754098360656,0.360655737704918,0.3442622950819672,0.360655737704918,0.3770491803278688,0.3442622950819672,0.3770491803278688,0.3442622950819672,0.360655737704918,0.3770491803278688,0.3442622950819672,0.3442622950819672,0.3770491803278688,0.360655737704918,0.3278688524590163,0.2295081967213114,0.3114754098360656,0.3770491803278688,0.2459016393442623,0.2459016393442623,0.2131147540983606,0.3770491803278688,0.3934426229508196
0.3442622950819672,0.3442622950819672,0.360655737704918,0.3442622950819672,0.3442622950819672,0.3770491803278688,0.360655737704918,0.360655737704918,0.3934426229508196,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3770491803278688,0.3114754098360656,0.360655737704918,0.3934426229508196,0.3442622950819672,0.360655737704918,0.36065573770491804,0.3442622950819672,0.360655737704918,0.2786885245901639,0.36065573770491804,0.2950819672131147,0.3770491803278688,0.3770491803278688,0.360655737704918,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.360655737704918,0.2131147540983606,0.360655737704918,0.3934426229508196,0.2131147540983606,0.0491803278688524,0.2295081967213114,0.3770491803278688,0.3442622950819672
0.3492063492063492,0.3333333333333333,0.2857142857142857,0.3174603174603174,0.3015873015873015,0.3492063492063492,0.3333333333333333,0.3333333333333333,0.3492063492063492,0.365079365079365,0.365079365079365,0.3333333333333333,0.3174603174603174,0.3174603174603174,0.3333333333333333,0.3492063492063492,0.3333333333333333,0.3492063492063492,0.36507936507936506,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.31746031746031744,0.3492063492063492,0.3333333333333333,0.3492063492063492,0.3333333333333333,0.3015873015873015,0.365079365079365,0.3174603174603174,0.3333333333333333,0.2786885245901639,0.3442622950819672,0.3333333333333333,0.3809523809523809,0.1428571428571428,0.2063492063492063,0.3492063492063492,0.3333333333333333
0.328125,0.359375,0.328125,0.3125,0.328125,0.34375,0.34375,0.34375,0.34375,0.34375,0.328125,0.34375,0.34375,0.3125,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.3125,0.21875,0.34375,0.328125,0.28125,0.328125,0.3125,0.328125,0.359375,0.328125,0.28125,0.2539682539682539,0.3809523809523809,0.3125,0.203125,0.25,0.21875,0.296875,0.34375
0.34375,0.375,0.34375,0.328125,0.34375,0.34375,0.328125,0.34375,0.34375,0.296875,0.296875,0.375,0.328125,0.28125,0.296875,0.34375,0.359375,0.34375,0.34375,0.359375,0.34375,0.265625,0.34375,0.359375,0.296875,0.34375,0.3125,0.328125,0.375,0.328125,0.328125,0.21875,0.34375,0.328125,0.1875,0.28125,0.203125,0.34375,0.328125
0.296875,0.328125,0.359375,0.34375,0.375,0.328125,0.34375,0.375,0.375,0.375,0.328125,0.359375,0.375,0.359375,0.375,0.375,0.375,0.375,0.375,0.359375,0.359375,0.296875,0.359375,0.328125,0.34375,0.375,0.375,0.359375,0.375,0.34375,0.328125,0.234375,0.328125,0.375,0.28125,0.25,0.1875,0.328125,0.359375
0.296875,0.328125,0.359375,0.3125,0.328125,0.359375,0.359375,0.359375,0.328125,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.328125,0.359375,0.359375,0.359375,0.34375,0.296875,0.28125,0.34375,0.3125,0.296875,0.328125,0.359375,0.359375,0.34375,0.296875,0.296875,0.171875,0.375,0.359375,0.140625,0.21875,0.203125,0.34375,0.34375
0.25,0.34375,0.34375,0.34375,0.359375,0.375,0.359375,0.359375,0.359375,0.34375,0.3125,0.359375,0.359375,0.34375,0.359375,0.34375,0.34375,0.359375,0.359375,0.3125,0.296875,0.234375,0.359375,0.34375,0.265625,0.328125,0.328125,0.359375,0.34375,0.3125,0.265625,0.25,0.34375,0.296875,0.21875,0.265625,0.265625,0.296875,0.328125
0.34375,0.359375,0.359375,0.328125,0.34375,0.34375,0.34375,0.359375,0.34375,0.34375,0.296875,0.296875,0.359375,0.328125,0.34375,0.34375,0.34375,0.359375,0.359375,0.28125,0.34375,0.234375,0.359375,0.34375,0.296875,0.34375,0.359375,0.328125,0.359375,0.28125,0.296875,0.28125,0.34375,0.296875,0.34375,0.265625,0.25,0.265625,0.328125
0.2950819672131147,0.3114754098360656,0.3278688524590163,0.3114754098360656,0.2950819672131147,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3442622950819672,0.3114754098360656,0.2950819672131147,0.3114754098360656,0.360655737704918,0.3114754098360656,0.3278688524590163,0.3278688524590163,0.3278688524590163,0.3278688524590163,0.32786885245901637,0.3114754098360656,0.2622950819672131,0.2786885245901639,0.36065573770491804,0.3278688524590163,0.2622950819672131,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.360655737704918,0.2950819672131147,0.2622950819672131,0.21875,0.34375,0.3442622950819672,0.1967213114754098,0.0,0.2295081967213114,0.360655737704918,0.360655737704918
0.3442622950819672,0.360655737704918,0.360655737704918,0.360655737704918,0.360655737704918,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3114754098360656,0.3114754098360656,0.3442622950819672,0.360655737704918,0.3278688524590163,0.3770491803278688,0.360655737704918,0.3770491803278688,0.39344262295081966,0.360655737704918,0.2950819672131147,0.3442622950819672,0.36065573770491804,0.3278688524590163,0.2950819672131147,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.3770491803278688,0.3442622950819672,0.2950819672131147,0.2131147540983606,0.3442622950819672,0.2950819672131147,0.1475409836065573,0.2622950819672131,0.1475409836065573,0.2950819672131147,0.3278688524590163
0.3114754098360656,0.3278688524590163,0.360655737704918,0.3278688524590163,0.3442622950819672,0.3770491803278688,0.3442622950819672,0.3770491803278688,0.3770491803278688,0.360655737704918,0.2622950819672131,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3770491803278688,0.360655737704918,0.3770491803278688,0.39344262295081966,0.3442622950819672,0.3278688524590163,0.2131147540983606,0.3442622950819672,0.360655737704918,0.3442622950819672,0.3770491803278688,0.3442622950819672,0.3770491803278688,0.360655737704918,0.2622950819672131,0.3114754098360656,0.1475409836065573,0.3442622950819672,0.3442622950819672,0.081967213114754,0.1639344262295081,0.2459016393442623,0.3442622950819672,0.3770491803278688
0.3333333333333333,0.3015873015873015,0.3174603174603174,0.3333333333333333,0.3015873015873015,0.365079365079365,0.3333333333333333,0.365079365079365,0.365079365079365,0.3174603174603174,0.3333333333333333,0.365079365079365,0.3492063492063492,0.3333333333333333,0.365079365079365,0.365079365079365,0.3174603174603174,0.365079365079365,0.38095238095238093,0.3809523809523809,0.3015873015873015,0.3174603174603174,0.3492063492063492,0.3333333333333333,0.3174603174603174,0.365079365079365,0.365079365079365,0.3492063492063492,0.3809523809523809,0.2857142857142857,0.3174603174603174,0.2131147540983606,0.3442622950819672,0.3492063492063492,0.1428571428571428,0.1904761904761904,0.238095238095238,0.3333333333333333,0.3174603174603174
0.375,0.34375,0.359375,0.328125,0.359375,0.359375,0.34375,0.34375,0.34375,0.34375,0.265625,0.359375,0.359375,0.328125,0.359375,0.359375,0.359375,0.34375,0.359375,0.359375,0.328125,0.296875,0.34375,0.296875,0.34375,0.34375,0.34375,0.328125,0.359375,0.328125,0.3125,0.2698412698412698,0.365079365079365,0.359375,0.171875,0.203125,0.0,0.375,0.359375
0.359375,0.34375,0.296875,0.359375,0.34375,0.375,0.375,0.375,0.375,0.375,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.34375,0.34375,0.28125,0.375,0.375,0.34375,0.359375,0.375,0.34375,0.359375,0.3125,0.359375,0.25,0.359375,0.328125,0.296875,0.109375,0.15625,0.3125,0.34375
0.359375,0.375,0.34375,0.328125,0.34375,0.34375,0.359375,0.359375,0.359375,0.375,0.34375,0.359375,0.359375,0.328125,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.375,0.21875,0.359375,0.375,0.359375,0.375,0.375,0.359375,0.359375,0.21875,0.34375,0.140625,0.3125,0.359375,0.3125,0.3125,0.203125,0.265625,0.359375
0.25,0.359375,0.3125,0.3125,0.234375,0.359375,0.359375,0.375,0.359375,0.28125,0.28125,0.3125,0.359375,0.3125,0.359375,0.375,0.359375,0.375,0.375,0.3125,0.203125,0.265625,0.3125,0.328125,0.203125,0.296875,0.296875,0.265625,0.34375,0.203125,0.296875,0.203125,0.359375,0.3125,0.09375,0.078125,0.21875,0.3125,0.296875
0.265625,0.328125,0.328125,0.34375,0.328125,0.34375,0.359375,0.359375,0.34375,0.328125,0.34375,0.34375,0.328125,0.34375,0.328125,0.34375,0.359375,0.34375,0.359375,0.34375,0.34375,0.28125,0.34375,0.3125,0.359375,0.359375,0.359375,0.359375,0.359375,0.3125,0.34375,0.203125,0.34375,0.375,0.25,0.1875,0.296875,0.359375,0.359375
0.28125,0.34375,0.3125,0.28125,0.3125,0.34375,0.359375,0.359375,0.359375,0.265625,0.34375,0.296875,0.328125,0.28125,0.3125,0.359375,0.34375,0.328125,0.359375,0.34375,0.34375,0.328125,0.359375,0.3125,0.296875,0.34375,0.328125,0.328125,0.359375,0.328125,0.328125,0.296875,0.375,0.328125,0.09375,0.125,0.203125,0.296875,0.328125
0.3278688524590163,0.360655737704918,0.3278688524590163,0.3278688524590163,0.3278688524590163,0.360655737704918,0.360655737704918,0.360655737704918,0.3442622950819672,0.3442622950819672,0.3278688524590163,0.3114754098360656,0.3278688524590163,0.2950819672131147,0.3114754098360656,0.3442622950819672,0.3934426229508196,0.360655737704918,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3278688524590163,0.3442622950819672,0.3770491803278688,0.3114754098360656,0.3114754098360656,0.360655737704918,0.360655737704918,0.3278688524590163,0.1875,0.296875,0.3278688524590163,0.081967213114754,0.1475409836065573,0.2295081967213114,0.2950819672131147,0.3442622950819672
0.3278688524590163,0.3442622950819672,0.3114754098360656,0.3114754098360656,0.2950819672131147,0.360655737704918,0.360655737704918,0.360655737704918,0.360655737704918,0.3114754098360656,0.3278688524590163,0.3770491803278688,0.3442622950819672,0.3114754098360656,0.360655737704918,0.3770491803278688,0.3934426229508196,0.3442622950819672,0.39344262295081966,0.360655737704918,0.2786885245901639,0.2950819672131147,0.36065573770491804,0.3442622950819672,0.2786885245901639,0.360655737704918,0.360655737704918,0.360655737704918,0.3934426229508196,0.2786885245901639,0.2622950819672131,0.2295081967213114,0.360655737704918,0.360655737704918,0.2786885245901639,0.1475409836065573,0.1639344262295081,0.3442622950819672,0.360655737704918
0.360655737704918,0.3442622950819672,0.3934426229508196,0.3770491803278688,0.3934426229508196,0.3442622950819672,0.3442622950819672,0.360655737704918,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.360655737704918,0.3934426229508196,0.3770491803278688,0.3934426229508196,0.3442622950819672,0.360655737704918,0.360655737704918,0.36065573770491804,0.3114754098360656,0.360655737704918,0.1967213114754098,0.3770491803278688,0.3278688524590163,0.360655737704918,0.3770491803278688,0.3934426229508196,0.360655737704918,0.3278688524590163,0.2950819672131147,0.360655737704918,0.1475409836065573,0.360655737704918,0.3770491803278688,0.081967213114754,0.1311475409836065,0.2786885245901639,0.3442622950819672,0.360655737704918
0.365079365079365,0.3492063492063492,0.2857142857142857,0.2857142857142857,0.365079365079365,0.365079365079365,0.3809523809523809,0.3015873015873015,0.3809523809523809,0.365079365079365,0.3492063492063492,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3492063492063492,0.365079365079365,0.365079365079365,0.36507936507936506,0.3492063492063492,0.3015873015873015,0.2063492063492063,0.3492063492063492,0.3492063492063492,0.3174603174603174,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.365079365079365,0.2698412698412698,0.3492063492063492,0.1639344262295081,0.360655737704918,0.3015873015873015,0.3174603174603174,0.1904761904761904,0.2222222222222222,0.2698412698412698,0.3492063492063492
0.34375,0.3125,0.328125,0.3125,0.34375,0.359375,0.375,0.359375,0.359375,0.34375,0.296875,0.34375,0.359375,0.3125,0.34375,0.359375,0.359375,0.359375,0.359375,0.34375,0.34375,0.171875,0.375,0.359375,0.34375,0.34375,0.34375,0.328125,0.375,0.28125,0.34375,0.2222222222222222,0.3174603174603174,0.328125,0.265625,0.296875,0.1875,0.328125,0.375
0.28125,0.34375,0.328125,0.328125,0.3125,0.359375,0.28125,0.359375,0.328125,0.328125,0.28125,0.375,0.359375,0.328125,0.34375,0.34375,0.359375,0.3125,0.375,0.375,0.3125,0.21875,0.34375,0.328125,0.328125,0.34375,0.359375,0.328125,0.375,0.328125,0.296875,0.1875,0.34375,0.296875,0.09375,0.25,0.203125,0.3125,0.296875
0.328125,0.328125,0.359375,0.359375,0.359375,0.375,0.359375,0.375,0.375,0.328125,0.3125,0.359375,0.375,0.359375,0.375,0.375,0.359375,0.375,0.375,0.359375,0.375,0.28125,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.3125,0.359375,0.21875,0.34375,0.359375,0.171875,0.328125,0.25,0.359375,0.375
0.3125,0.34375,0.328125,0.328125,0.328125,0.328125,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.359375,0.34375,0.359375,0.34375,0.34375,0.34375,0.359375,0.34375,0.34375,0.34375,0.359375,0.328125,0.296875,0.359375,0.34375,0.3125,0.375,0.34375,0.296875,0.28125,0.359375,0.3125,0.125,0.25,0.203125,0.359375,0.375
0.296875,0.359375,0.3125,0.359375,0.328125,0.359375,0.359375,0.359375,0.359375,0.359375,0.3125,0.359375,0.359375,0.359375,0.328125,0.359375,0.359375,0.359375,0.359375,0.359375,0.34375,0.28125,0.359375,0.34375,0.34375,0.34375,0.34375,0.296875,0.359375,0.328125,0.34375,0.203125,0.359375,0.296875,0.3125,0.0,0.21875,0.3125,0.296875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,0.296875,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
